[2025-12-10 20:23:32] Geração 182 — mean=0.994630753993988, best=0.995100200176239, std=0.0004014865553472191
[2025-12-10 20:23:34] Geração 183 — mean=0.9945859909057617, best=0.995100200176239, std=0.0009506591013632715
[2025-12-10 20:23:37] Geração 184 — mean=0.9946463704109192, best=0.9951210618019104, std=0.0006847027689218521
[2025-12-10 20:23:39] Geração 185 — mean=0.9946689605712891, best=0.9951406717300415, std=0.00036780472146347165
[2025-12-10 20:23:42] Geração 186 — mean=0.9947041273117065, best=0.9951406717300415, std=0.00035372411366552114
[2025-12-10 20:23:44] Geração 187 — mean=0.9947431683540344, best=0.9951828122138977, std=0.00022070598788559437
[2025-12-10 20:23:46] Geração 188 — mean=0.994742214679718, best=0.9951828122138977, std=0.0002822747628670186
[2025-12-10 20:23:49] Geração 189 — mean=0.9947790503501892, best=0.9951897859573364, std=0.0002443389385007322
[2025-12-10 20:23:51] Geração 190 — mean=0.9947801828384399, best=0.9951897859573364, std=0.00026016030460596085
[2025-12-10 20:23:54] Geração 191 — mean=0.9947679042816162, best=0.9951897859573364, std=0.0004278705164324492
[2025-12-10 20:23:56] Geração 192 — mean=0.9948273301124573, best=0.9951897859573364, std=0.00021629607363138348
[2025-12-10 20:23:58] Geração 193 — mean=0.9946935176849365, best=0.9951897859573364, std=0.0017880165250971913
[2025-12-10 20:24:01] Geração 194 — mean=0.99480801820755, best=0.9951897859573364, std=0.0003274540067650378
[2025-12-10 20:24:03] Geração 195 — mean=0.9916889071464539, best=0.9951897859573364, std=0.04783499985933304
[2025-12-10 20:24:05] Geração 196 — mean=0.9948312044143677, best=0.9951897859573364, std=0.00025813531829044223
[2025-12-10 20:24:08] Geração 197 — mean=0.9948404431343079, best=0.9951897859573364, std=0.00027705414686352015
[2025-12-10 20:24:10] Geração 198 — mean=0.9948453307151794, best=0.9951897859573364, std=0.0002535045496188104
[2025-12-10 20:24:12] Geração 199 — mean=0.994861364364624, best=0.9951897859573364, std=0.00025219761300832033
[2025-12-10 20:24:15] Geração 200 — mean=0.9948780536651611, best=0.9951897859573364, std=0.00020854819740634412
[2025-12-10 20:24:17] Geração 201 — mean=0.9948832988739014, best=0.9951897859573364, std=0.0002942115825135261
[2025-12-10 20:24:19] Geração 202 — mean=0.9948793649673462, best=0.9951897859573364, std=0.0002746039826888591
[2025-12-10 20:24:22] Geração 203 — mean=0.9949036836624146, best=0.9951950907707214, std=0.00021099230798427016
[2025-12-10 20:24:24] Geração 204 — mean=0.9948982000350952, best=0.9951949715614319, std=0.000596114550717175
[2025-12-10 20:24:26] Geração 205 — mean=0.994917094707489, best=0.9951972365379333, std=0.0002364504471188411
[2025-12-10 20:24:29] Geração 206 — mean=0.9948647022247314, best=0.9952072501182556, std=0.0005466888542287052
[2025-12-10 20:24:31] Geração 207 — mean=0.9948321580886841, best=0.995223343372345, std=0.0010714787058532238
[2025-12-10 20:24:34] Geração 208 — mean=0.9948980808258057, best=0.995223343372345, std=0.00026288977824151516
[2025-12-10 20:24:36] Geração 209 — mean=0.9949027299880981, best=0.995223343372345, std=0.00029260365408845246
[2025-12-10 20:24:38] Geração 210 — mean=0.9949283599853516, best=0.995223343372345, std=0.0002682458143681288
[2025-12-10 20:24:41] Geração 211 — mean=0.9949088096618652, best=0.995223343372345, std=0.0004739938594866544
[2025-12-10 20:24:43] Geração 212 — mean=0.994960606098175, best=0.995223343372345, std=0.00015347273438237607
[2025-12-10 20:24:45] Geração 213 — mean=0.9949507713317871, best=0.995223343372345, std=0.0001637522509554401
[2025-12-10 20:24:48] Geração 214 — mean=0.9949577450752258, best=0.9952320456504822, std=0.00017254128761123866
[2025-12-10 20:24:50] Geração 215 — mean=0.9949490427970886, best=0.9952320456504822, std=0.0002792550076264888
[2025-12-10 20:24:53] Geração 216 — mean=0.9949663877487183, best=0.9952467083930969, std=0.0002043175627477467
[2025-12-10 20:24:55] Geração 217 — mean=0.9949876070022583, best=0.9952467083930969, std=0.00022463247296400368
[2025-12-10 20:24:57] Geração 218 — mean=0.995003879070282, best=0.9952467083930969, std=0.00016763480380177498
[2025-12-10 20:25:00] Geração 219 — mean=0.9950067400932312, best=0.9952467083930969, std=0.00019282932044006884
[2025-12-10 20:25:02] Geração 220 — mean=0.994998037815094, best=0.9952467083930969, std=0.0002011461474467069
[2025-12-10 20:25:05] Geração 221 — mean=0.9950219988822937, best=0.9952467083930969, std=0.00013495162420440465
[2025-12-10 20:25:07] Geração 222 — mean=0.9950300455093384, best=0.9952467083930969, std=0.00014164086314849555
[2025-12-10 20:25:09] Geração 223 — mean=0.9950214624404907, best=0.9952467083930969, std=0.00017860588559415191
[2025-12-10 20:25:12] Geração 224 — mean=0.9950413107872009, best=0.9952467083930969, std=0.00017802156799007207
[2025-12-10 20:25:14] Geração 225 — mean=0.9950235486030579, best=0.9952467083930969, std=0.00037938792956992984
[2025-12-10 20:25:16] Geração 226 — mean=0.9950371980667114, best=0.9952467083930969, std=0.00015465501928701997
[2025-12-10 20:25:19] Geração 227 — mean=0.9950392246246338, best=0.9952473044395447, std=0.00027068916824646294
[2025-12-10 20:25:21] Geração 228 — mean=0.9950597286224365, best=0.9952492713928223, std=0.000134753281599842
