[2025-12-11 00:03:02] Geração 140 — mean=6.8054, best=6.8541, std=0.0191, frac_changed=1.000
[2025-12-11 00:03:09] Geração 141 — mean=6.8098, best=6.8576, std=0.0191, frac_changed=1.000
[2025-12-11 00:03:16] Geração 142 — mean=6.8147, best=6.8573, std=0.0182, frac_changed=1.000
[2025-12-11 00:03:22] Geração 143 — mean=6.8188, best=6.8603, std=0.0173, frac_changed=1.000
[2025-12-11 00:03:29] Geração 144 — mean=6.8231, best=6.8634, std=0.0162, frac_changed=1.000
[2025-12-11 00:03:36] Geração 145 — mean=6.8234, best=6.8641, std=0.0164, frac_changed=1.000
[2025-12-11 00:03:43] Geração 146 — mean=6.8274, best=6.8727, std=0.0161, frac_changed=1.000
[2025-12-11 00:03:50] Geração 147 — mean=6.8289, best=6.8739, std=0.0169, frac_changed=1.000
[2025-12-11 00:03:57] Geração 148 — mean=6.8304, best=6.8739, std=0.0178, frac_changed=1.000
[2025-12-11 00:04:04] Geração 149 — mean=6.8337, best=6.8739, std=0.0172, frac_changed=1.000
[2025-12-11 00:04:11] Geração 150 — mean=6.8377, best=6.8739, std=0.0169, frac_changed=1.000
[2025-12-11 00:04:18] Geração 151 — mean=6.8394, best=6.8739, std=0.0164, frac_changed=1.000
[2025-12-11 00:04:24] Geração 152 — mean=6.8409, best=6.8794, std=0.0151, frac_changed=1.000
[2025-12-11 00:04:31] Geração 153 — mean=6.8426, best=6.8794, std=0.0150, frac_changed=1.000
[2025-12-11 00:04:38] Geração 154 — mean=6.8439, best=6.8870, std=0.0153, frac_changed=1.000
[2025-12-11 00:04:45] Geração 155 — mean=6.8462, best=6.8870, std=0.0156, frac_changed=1.000
[2025-12-11 00:04:52] Geração 156 — mean=6.8489, best=6.8870, std=0.0164, frac_changed=1.000
[2025-12-11 00:04:59] Geração 157 — mean=6.8517, best=6.8878, std=0.0171, frac_changed=1.000
[2025-12-11 00:05:05] Geração 158 — mean=6.8538, best=6.8878, std=0.0168, frac_changed=1.000
