[2025-12-10 21:14:18] Geração 084 — mean=-51.45378875732422, best=-23.329435348510742, std=9.10534954071045
[2025-12-10 21:14:24] Geração 085 — mean=-50.60314178466797, best=-23.329435348510742, std=8.295319557189941
[2025-12-10 21:14:31] Geração 086 — mean=-50.16258239746094, best=-23.329435348510742, std=7.924480438232422
[2025-12-10 21:14:38] Geração 087 — mean=-49.493099212646484, best=-23.329435348510742, std=8.476318359375
[2025-12-10 21:14:45] Geração 088 — mean=-49.016319274902344, best=-23.329435348510742, std=8.11242961883545
[2025-12-10 21:14:52] Geração 089 — mean=-49.89090347290039, best=-23.329435348510742, std=8.03256893157959
[2025-12-10 21:14:59] Geração 090 — mean=-50.06067657470703, best=-23.329435348510742, std=7.918138027191162
[2025-12-10 21:15:06] Geração 091 — mean=-50.11918640136719, best=-23.329435348510742, std=8.225218772888184
[2025-12-10 21:15:13] Geração 092 — mean=-49.42300033569336, best=-23.329435348510742, std=8.708684921264648
[2025-12-10 21:15:19] Geração 093 — mean=-49.55618667602539, best=-23.329435348510742, std=7.995227336883545
[2025-12-10 21:15:26] Geração 094 — mean=-50.19560241699219, best=-23.329435348510742, std=7.66977596282959
[2025-12-10 21:15:33] Geração 095 — mean=-50.09083557128906, best=-23.329435348510742, std=7.433338165283203
[2025-12-10 21:15:40] Geração 096 — mean=-49.907814025878906, best=-23.329435348510742, std=7.3824310302734375
[2025-12-10 21:15:47] Geração 097 — mean=-50.021366119384766, best=-23.329435348510742, std=8.253886222839355
[2025-12-10 21:15:54] Geração 098 — mean=-50.82632064819336, best=-23.329435348510742, std=8.05550765991211
[2025-12-10 21:16:00] Geração 099 — mean=-50.135860443115234, best=-23.329435348510742, std=9.095857620239258
[2025-12-10 21:16:07] Geração 100 — mean=-48.72517013549805, best=-23.329435348510742, std=9.260828971862793
[2025-12-10 21:16:14] Geração 101 — mean=-48.10947036743164, best=-23.329435348510742, std=8.141378402709961
[2025-12-10 21:16:21] Geração 102 — mean=-46.43888854980469, best=-23.329435348510742, std=7.822117805480957
[2025-12-10 21:16:28] Geração 103 — mean=-46.851016998291016, best=-23.329435348510742, std=7.809896945953369
[2025-12-10 21:16:35] Geração 104 — mean=-47.152828216552734, best=-23.329435348510742, std=7.318336009979248
[2025-12-10 21:16:42] Geração 105 — mean=-46.83658981323242, best=-23.329435348510742, std=7.411545276641846
[2025-12-10 21:16:49] Geração 106 — mean=-46.7852668762207, best=-23.329435348510742, std=7.175548553466797
[2025-12-10 21:16:55] Geração 107 — mean=-46.72568130493164, best=-23.329435348510742, std=7.437816143035889
[2025-12-10 21:17:02] Geração 108 — mean=-46.43838882446289, best=-23.329435348510742, std=7.811407566070557
[2025-12-10 21:17:09] Geração 109 — mean=-46.325096130371094, best=-23.329435348510742, std=7.709185600280762
[2025-12-10 21:17:16] Geração 110 — mean=-45.301944732666016, best=-23.329435348510742, std=7.536303997039795
[2025-12-10 21:17:23] Geração 111 — mean=-44.54743576049805, best=-23.329435348510742, std=6.781911373138428
[2025-12-10 21:17:29] Geração 112 — mean=-45.39942932128906, best=-23.329435348510742, std=7.0042853355407715
[2025-12-10 21:17:36] Geração 113 — mean=-46.150577545166016, best=-23.329435348510742, std=7.434627056121826
[2025-12-10 21:17:43] Geração 114 — mean=-46.21108627319336, best=-23.329435348510742, std=7.184850692749023
[2025-12-10 21:17:50] Geração 115 — mean=-46.503841400146484, best=-23.329435348510742, std=7.303039073944092
[2025-12-10 21:17:57] Geração 116 — mean=-46.22031784057617, best=-23.329435348510742, std=7.188305377960205
[2025-12-10 21:18:04] Geração 117 — mean=-47.383392333984375, best=-23.329435348510742, std=6.782532691955566
[2025-12-10 21:18:11] Geração 118 — mean=-47.3578987121582, best=-23.329435348510742, std=7.194316387176514
[2025-12-10 21:18:18] Geração 119 — mean=-47.41216278076172, best=-23.329435348510742, std=7.114606857299805
[2025-12-10 21:18:25] Geração 120 — mean=-46.84588623046875, best=-23.329435348510742, std=7.564765930175781
[2025-12-10 21:18:31] Geração 121 — mean=-46.869720458984375, best=-23.329435348510742, std=7.407739162445068
[2025-12-10 21:18:38] Geração 122 — mean=-46.52627944946289, best=-23.329435348510742, std=6.9980244636535645
